Date;VDC;IEV;XLP
2017-10-31;136.520004;47.110001000000004;53.09
2017-11-30;144.130005;47.040001000000004;56.049999
2017-12-31;146.03999299999998;47.259997999999996;56.889998999999996
2018-01-31;148.53999299999998;49.860001000000004;57.82
2018-02-28;137.490005;46.779999;53.41
2018-03-31;136.119995;46.630001;52.630001
2018-04-30;131.070007;47.599998;50.450001
2018-05-31;129.610001;46.34;49.66
2018-06-30;134.270004;44.709998999999996;51.529999
2018-07-31;138.899994;46.349998;53.57
2018-08-31;140.050003;44.91;53.779999
2018-09-30;140.119995;45.07;53.93
2018-10-31;142.5;41.59;55.009997999999996
2018-11-30;145.270004;41.52;56.259997999999996
2018-12-31;131.169998;39.119999;50.779999
2019-01-31;138.300003;41.619999;53.389998999999996
2019-02-28;141.110001;42.93;54.34
2019-03-31;145.21000700000002;43.389998999999996;56.110001000000004
2019-04-30;148.889999;45.0;57.709998999999996
2019-05-31;142.66000400000001;42.529999;55.610001000000004
2019-06-30;148.759995;44.07;58.07
2019-07-31;152.270004;42.91;59.43
2019-08-31;154.699997;42.169998;60.720001
2019-09-30;156.110001;43.150002;61.189999
