Date;GDX;XLB;VAW
2016-05-31;22.58;46.939999;103.16999799999999
2016-06-30;27.709999;46.34;102.43
2016-07-31;30.59;48.689999;108.07
2016-08-31;25.49;48.560001;108.209999
2016-09-30;26.43;47.75;106.91999799999999
2016-10-31;24.52;46.75;104.290001
2016-11-30;20.83;49.939999;113.019997
2016-12-31;20.92;49.700001;112.440002
2017-01-31;23.93;51.959998999999996;117.75
2017-02-28;22.85;52.25;118.989998
2017-03-31;22.809998999999998;52.41;118.940002
2017-04-30;22.23;53.07;120.239998
2017-05-31;22.690001000000002;53.080002;119.449997
2017-06-30;22.08;53.810001;121.599998
2017-07-31;22.860001;54.639998999999996;123.370003
2017-08-31;24.719998999999998;55.07;124.199997
2017-09-30;22.959999;56.799999;128.520004
2017-10-31;22.48;59.0;133.259995
2017-11-30;22.469998999999998;59.560001;134.470001
2017-12-31;23.24;60.529999;136.699997
2018-01-31;23.75;62.950001;141.559998
2018-02-28;21.35;59.630001;134.16000400000001
2018-03-31;21.98;56.939999;128.899994
2018-04-30;22.280001000000002;57.009997999999996;129.520004
2018-05-31;22.34;58.18;132.600006
2018-06-30;22.309998999999998;58.07;131.559998
2018-07-31;21.280001000000002;59.73;135.479996
2018-08-31;18.549999;59.27;134.240005
2018-09-30;18.52;57.93;131.110001
2018-10-31;18.93;52.610001000000004;117.010002
2018-11-30;19.09;54.610001000000004;121.050003
2018-12-31;21.09;50.52;110.83000200000001
2019-01-31;22.690001000000002;53.349998;119.120003
2019-02-28;22.24;55.049999;123.25
2019-03-31;22.42;55.5;123.089996
2019-04-30;20.889999;57.450001;126.959999
2019-05-31;21.59;52.75;115.160004
2019-06-30;25.559998999999998;58.5;128.199997
2019-07-31;26.5;58.34;127.529999
2019-08-31;29.860001;56.689999;122.68
2019-09-30;28.110001;57.869999;125.760002
