Date;VIS;ITA;XLI
2017-06-30;128.41000400000001;157.350006;68.110001
2017-07-31;128.649994;164.899994;68.309998
2017-08-31;128.679993;170.96000700000002;68.459999
2017-09-30;134.259995;178.03999299999998;71.0
2017-10-31;135.149994;180.470001;71.529999
2017-11-30;140.360001;185.83999599999999;74.510002
2017-12-31;142.369995;188.110001;75.66999799999999
2018-01-31;148.91000400000001;203.25;79.730003
2018-02-28;142.380005;202.869995;76.650002
2018-03-31;139.110001;197.96000700000002;74.290001
2018-04-30;135.380005;192.350006;72.220001
2018-05-31;139.880005;199.08999599999999;74.440002
2018-06-30;135.809998;192.470001;71.629997
2018-07-31;144.940002;205.83999599999999;76.91999799999999
2018-08-31;146.070007;207.470001;77.099998
2018-09-30;147.720001;216.42999300000002;78.400002
2018-10-31;131.21000700000002;191.720001;69.879997
2018-11-30;135.940002;192.009995;72.540001
2018-12-31;120.410004;172.860001;64.410004
2019-01-31;134.070007;194.5;71.769997
2019-02-28;142.449997;209.119995;76.339996
2019-03-31;139.899994;199.580002;75.029999
2019-04-30;146.279999;209.619995;78.010002
2019-05-31;135.229996;201.940002;72.050003
2019-06-30;145.800003;214.210007;77.41999799999999
2019-07-31;146.929993;215.27999900000003;77.82
2019-08-31;142.380005;221.809998;75.760002
2019-09-30;146.5;227.74000499999997;77.83000200000001
