Date;VPU;IDU;XLU
2017-10-31;121.349998;138.21000700000002;55.119999
2017-11-30;123.620003;140.720001;56.599998
2017-12-31;116.589996;132.869995;52.68
2018-01-31;112.940002;128.649994;51.040001000000004
2018-02-28;108.300003;123.459999;49.060001
2018-03-31;111.809998;127.449997;50.529999
2018-04-30;114.57;130.419998;51.560001
2018-05-31;114.209999;129.679993;50.990002000000004
2018-06-30;115.959999;131.940002;51.959998999999996
2018-07-31;117.900002;134.16000400000001;52.790001000000004
2018-08-31;119.260002;135.690002;53.470001
2018-09-30;117.870003;134.070007;52.650002
2018-10-31;119.25;135.759995;53.689999
2018-11-30;123.91999799999999;140.71000700000002;55.59
2018-12-31;117.83000200000001;134.220001;52.919998
2019-01-31;122.209999;139.020004;54.759997999999996
2019-02-28;126.949997;144.429993;57.009997999999996
2019-03-31;129.600006;147.309998;58.169998
2019-04-30;130.720001;148.630005;58.709998999999996
2019-05-31;129.580002;147.169998;58.25
2019-06-30;132.929993;150.78999299999998;59.630001
2019-07-31;132.649994;150.440002;59.549999
2019-08-31;139.059998;157.619995;62.580002
2019-09-30;144.050003;163.320007;64.93
