Date;RWR;VNQ;IYR
2016-11-30;90.620003;80.389999;74.849998
2016-12-31;93.349998;82.529999;76.940002
2017-01-31;92.459999;82.370003;77.040001
2017-02-28;95.66999799999999;85.260002;80.410004
2017-03-31;92.279999;82.589996;78.489998
2017-04-30;92.089996;82.790001;78.93
2017-05-31;91.510002;82.190002;78.839996
2017-06-30;92.980003;83.230003;79.769997
2017-07-31;93.790001;84.260002;80.660004
2017-08-31;93.050003;84.040001;81.199997
2017-09-30;92.510002;83.089996;79.879997
2017-10-31;91.470001;82.199997;79.91999799999999
2017-11-30;94.339996;84.389999;81.970001
2017-12-31;93.690002;82.980003;81.010002
2018-01-31;89.849998;79.449997;78.559998
2018-02-28;83.349998;73.349998;73.33000200000001
2018-03-31;86.139999;75.470001;75.470001
2018-04-30;87.389999;76.089996;75.639999
2018-05-31;90.900002;78.889999;78.190002
2018-06-30;93.959999;81.449997;80.58000200000001
2018-07-31;94.260002;81.940002;81.25
2018-08-31;97.08000200000001;84.050003;83.18
2018-09-30;93.25;80.68;80.019997
2018-10-31;90.879997;78.32;78.110001
2018-11-30;95.33000200000001;81.980003;81.779999
2018-12-31;86.0;74.57;74.940002
2019-01-31;95.809998;83.410004;83.540001
2019-02-28;96.760002;83.989998;84.150002
2019-03-31;98.91999799999999;86.910004;87.040001
2019-04-30;98.68;86.769997;87.0
2019-05-31;98.370003;86.889999;86.870003
2019-06-30;98.800003;87.400002;87.309998
2019-07-31;100.339996;88.889999;89.389999
2019-08-31;102.720001;92.220001;92.459999
2019-09-30;104.739998;93.610001;93.760002
