Date;VFH;XLF;KRE
2015-06-30;49.669998;24.870001000000002;44.16
2015-07-31;51.099998;25.209999;43.619999
2015-08-31;48.169998;22.33;41.07
2015-09-30;46.290001000000004;22.65;41.18
2015-10-31;49.029999;24.08;42.830002
2015-11-30;50.07;19.95126;45.650002
2015-12-31;48.450001;19.358245999999998;41.919998
2016-01-31;44.330002;17.644192;36.66
2016-02-29;43.200001;17.132412;35.07
2016-03-31;46.360001000000004;18.277822;37.639998999999996
2016-04-30;47.68;18.935825;40.349998
2016-05-31;48.889998999999996;19.293257;41.650002
2016-06-30;47.360001000000004;18.570269;38.400002
2016-07-31;49.209998999999996;19.212023000000002;40.099998
2016-08-31;50.799999;19.95126;43.02
2016-09-30;49.360001000000004;19.299999;42.27
2016-10-31;50.279999;19.74;43.790001000000004
2016-11-30;57.240002000000004;22.51;52.41
2016-12-31;59.349998;23.25;55.57
2017-01-31;59.439999;23.309998999999998;55.400002
2017-02-28;62.32;24.540001;57.459998999999996
2017-03-31;60.470001;23.73;54.610001000000004
2017-04-30;60.060001;23.530001000000002;54.049999
2017-05-31;59.09;23.25;51.830002
2017-06-30;62.549999;24.67;54.950001
2017-07-31;63.540001000000004;25.09;54.48
2017-08-31;62.259997999999996;24.700001;52.02
2017-09-30;65.360001;25.860001;56.759997999999996
2017-10-31;67.019997;26.6;57.110001000000004
2017-11-30;69.379997;27.52;59.330002
2017-12-31;70.040001;27.91;58.849998
2018-01-31;74.040001;29.74;62.299999
2018-02-28;72.029999;28.870001000000002;61.52
2018-03-31;69.470001;27.57;60.389998999999996
2018-04-30;69.220001;27.450001;61.639998999999996
2018-05-31;69.110001;27.18;63.18
2018-06-30;67.449997;26.59;61.0
2018-07-31;70.610001;27.950001;61.509997999999996
2018-08-31;71.58000200000001;28.33;63.150002
2018-09-30;69.370003;27.58;59.419998
2018-10-31;65.660004;26.280001000000002;53.990002000000004
2018-11-30;67.41999799999999;26.969998999999998;55.759997999999996
2018-12-31;59.360001000000004;23.82;46.790001000000004
2019-01-31;64.949997;25.940001000000002;52.959998999999996
2019-02-28;66.970001;26.52;56.610001000000004
2019-03-31;64.540001;25.709999;51.34
2019-04-30;70.059998;28.02;55.799999
2019-05-31;65.150002;26.01;50.220001
2019-06-30;69.010002;27.6;53.43
2019-07-31;70.900002;28.25;55.139998999999996
2019-08-31;67.239998;26.92;50.119999
2019-09-30;69.970001;27.959999;52.849998
