DATE;T10Y2Y;FEDFUNDS
1989-03-31;-0.32181818181818184;9.85
1989-04-30;-0.27599999999999997;9.84
1989-05-31;-0.15863636363636366;9.81
1989-06-30;-0.1290909090909091;9.53
1989-07-31;0.199;9.24
1989-08-31;-0.03217391304347827;8.99
1989-09-30;-0.09400000000000003;9.02
1989-10-31;0.028571428571428574;8.84
1989-11-30;0.07857142857142858;8.55
1989-12-31;0.05900000000000001;8.45
1990-01-31;0.12142857142857144;8.23
1990-02-28;0.10263157894736845;8.24
1990-03-31;-0.038181818181818185;8.28
1990-04-30;0.06150000000000001;8.26
1990-05-31;0.11590909090909095;8.18
1990-06-30;0.12904761904761905;8.29
1990-07-31;0.31428571428571433;8.15
1990-08-31;0.6913043478260869;8.13
1990-09-30;0.8136842105263158;8.2
1990-10-31;0.8418181818181818;8.11
1990-11-30;0.7935000000000001;7.81
1990-12-31;0.761;7.31
1991-01-31;0.9676190476190478;6.91
1991-02-28;0.9878947368421053;6.25
1991-03-31;1.0070000000000001;6.12
1991-04-30;1.0909090909090913;5.91
1991-05-31;1.284090909090909;5.78
1991-06-30;1.3279999999999998;5.9
1991-07-31;1.3550000000000002;5.82
1991-08-31;1.4668181818181816;5.66
1991-09-30;1.4685000000000001;5.45
1991-10-31;1.6149999999999998;5.21
1991-11-30;1.8584210526315788;4.81
1991-12-31;2.0628571428571427;4.43
1992-01-31;2.0742857142857147;4.03
1992-02-29;2.1257894736842102;4.06
1992-03-31;1.8572727272727272;3.98
1992-04-30;2.136190476190476;3.73
1992-05-31;2.1665;3.82
1992-06-30;2.213636363636364;3.76
1992-07-31;2.489090909090909;3.25
1992-08-31;2.3928571428571423;3.3
1992-09-30;2.520952380952381;3.22
1992-10-31;2.506190476190476;3.1
1992-11-30;2.2936842105263158;3.09
1992-12-31;2.0963636363636358;2.92
1993-01-31;2.2100000000000004;3.02
1993-02-28;2.1605263157894736;3.03
1993-03-31;2.0256521739130435;3.07
1993-04-30;2.131904761904762;2.96
1993-05-31;2.0584999999999996;3.0
1993-06-30;1.7990909090909093;3.04
1993-07-31;1.733333333333333;3.06
1993-08-31;1.676363636363636;3.03
1993-09-30;1.512857142857143;3.09
1993-10-31;1.4595;2.99
1993-11-30;1.5684999999999998;3.02
1993-12-31;1.5618181818181816;2.96
1994-01-31;1.6105000000000005;3.05
1994-02-28;1.4989473684210524;3.25
1994-03-31;1.4873913043478264;3.34
1994-04-30;1.4226315789473685;3.56
1994-05-31;1.2152380952380952;4.01
1994-06-30;1.1699999999999997;4.25
1994-07-31;1.1680000000000001;4.26
1994-08-31;1.058695652173913;4.47
1994-09-30;1.0647619047619048;4.73
1994-10-31;1.0154999999999998;4.76
1994-11-30;0.8065;5.29
1994-12-31;0.22428571428571434;5.45
1995-01-31;0.27249999999999996;5.53
